NAME,AFFILIATION,RESEARCHER ID,SCOPUS RESEARCHER ID,ORCID,CITATIONS BY,DOCUMENTS,H-INDEX,AUTHOR POSITION SOURCE,FIRST AUTHOR,LAST AUTHOR,CO AUTHOR,SINGLE AUTHOR,TIMESTAMP,DOCUMENTS SERIES,CITATIONS SERIES,ARTICLES,DOCUMENT,CITATION BY
"Moosavi, Majid",University of Isfahan,8675335500,8675335500,https://orcid.org/0000-0003-3136-3464,"1,236",59,16,32:2014-2023,41,53,0,6,1/26/2025 14:45,2005:1;2006:3;2007:1;2008:3;2010:3;2011:3;2012:4;2013:3;2014:5;2015:2;2016:3;2017:5;2018:4;2019:2;2020:4;2021:2;2022:2;2023:5;2024:4,,2-s2.0-85205891215;2-s2.0-85190794157;2-s2.0-85186758467;2-s2.0-85177617735;2-s2.0-85180893143;2-s2.0-85175270305;2-s2.0-85164243960;2-s2.0-85154535511;2-s2.0-85146281231;2-s2.0-85144232558;2-s2.0-85137160918;2-s2.0-85112128681;2-s2.0-85101381209;2-s2.0-85097750051;2-s2.0-85095799171;2-s2.0-85086748408;2-s2.0-85077802704;2-s2.0-85068858217;2-s2.0-85065609399;2-s2.0-85052620893;2-s2.0-85052492741;2-s2.0-85039987015;2-s2.0-85047653577;2-s2.0-85028332689;2-s2.0-85026840911;2-s2.0-85039419115;2-s2.0-85006934357;2-s2.0-85006483356;2-s2.0-84983666188;2-s2.0-84947935821;2-s2.0-84974605124;2-s2.0-84935030500;2-s2.0-84924527740;2-s2.0-84900626120;2-s2.0-84887571846;2-s2.0-84908462884;2-s2.0-84907260662;2-s2.0-84887729016;2-s2.0-84881515357;2-s2.0-84878005182;2-s2.0-84874929467;2-s2.0-84865065692;2-s2.0-84863204764;2-s2.0-84861873493;2-s2.0-84856402966;2-s2.0-80053385666;2-s2.0-80455174584;2-s2.0-79952628113;2-s2.0-77953684177;2-s2.0-79952469511;2-s2.0-77949486727;2-s2.0-55549148712;2-s2.0-48149114289;2-s2.0-43949114199;2-s2.0-34347251907;2-s2.0-33750999932;2-s2.0-33745201611;2-s2.0-33745590396;2-s2.0-24144449925,,
"Azimi, Gholamhassan",University of Isfahan,6603195298,6603195298,https://orcid.org/0000-0002-5740-3412,"1,186",67,22,28:2014-2023,4,78,18,0,1/26/2025 14:51,,,2-s2.0-85183586307;2-s2.0-85171446201;2-s2.0-85146779675;2-s2.0-85130905172;2-s2.0-85131865817;2-s2.0-85105807139;2-s2.0-85104233378;2-s2.0-85091743643;2-s2.0-85087110413;2-s2.0-85069049651;2-s2.0-85053925562;2-s2.0-85042115350;2-s2.0-85016830492;2-s2.0-85017363356;2-s2.0-85020025692;2-s2.0-85018979971;2-s2.0-85018645688;2-s2.0-84985995605;2-s2.0-84994462026;2-s2.0-84979609800;2-s2.0-84985995378;2-s2.0-84956625630;2-s2.0-84933046700;2-s2.0-84924941693;2-s2.0-84922626321;2-s2.0-84947969127;2-s2.0-84926442250;2-s2.0-84921730267;2-s2.0-84896755844;2-s2.0-84890083620;2-s2.0-84907046705;2-s2.0-84896894356;2-s2.0-84890568945;2-s2.0-84874076080;2-s2.0-84874199766;2-s2.0-84871361673;2-s2.0-84885916826;2-s2.0-84863989725;2-s2.0-84861335165;2-s2.0-80052519321;2-s2.0-80052174167;2-s2.0-79952938293;2-s2.0-77949904387;2-s2.0-77955719161;2-s2.0-72249090215;2-s2.0-67649297085;2-s2.0-51549115955;2-s2.0-51149103960;2-s2.0-44449164487;2-s2.0-39749199694;2-s2.0-34548098077;2-s2.0-20144385364;2-s2.0-9644287968;2-s2.0-2942579563;2-s2.0-3142726200;2-s2.0-3242660233;2-s2.0-0038375772;2-s2.0-0038001430;2-s2.0-0037406732;2-s2.0-0037445943;2-s2.0-0347926471;2-s2.0-0036566545;2-s2.0-0035043616;2-s2.0-0034875182;2-s2.0-0034371862;2-s2.0-0033985325;2-s2.0-0000460454,,
"Haftbaradaran, Hamed",University of Isfahan,15831980000,15831980000,https://orcid.org/0000-0003-0347-8686,"1,165",33,16,19:2014-2023,37,47,5,11,1/26/2025 14:59,,2008:2;2009:3;2010:3;2011:20;2012:47;2013:80;2014:81;2015:95;2016:103;2017:94;2018:100;2019:96;2020:103;2021:84;2022:102;2023:78;2024:64;2025:10,2-s2.0-85149394244;2-s2.0-85147848017;2-s2.0-85135772939;2-s2.0-85138444325;2-s2.0-85132213049;2-s2.0-85112716139;2-s2.0-85108971446;2-s2.0-85097356221;2-s2.0-85096481369;2-s2.0-85090026521;2-s2.0-85085980759;2-s2.0-85072630353;2-s2.0-85056788927;2-s2.0-85016080974;2-s2.0-84969699715;2-s2.0-84954285673;2-s2.0-84960880011;2-s2.0-84928395437;2-s2.0-84938701966;2-s2.0-84943150172;2-s2.0-84921437191;2-s2.0-84905010756;2-s2.0-84887066444;2-s2.0-84857917971;2-s2.0-84859882823;2-s2.0-84859544288;2-s2.0-84857396078;2-s2.0-78049405664;2-s2.0-77956690054;2-s2.0-77949385541;2-s2.0-65649094145;2-s2.0-70349159539;2-s2.0-33846471834,,
"Kajbaf, Mohammad Bagher",University of Isfahan,56806724200,56806724200,,76,12,6,5:2014-2023,0,20,80,0,1/26/2025 15:03,,,2-s2.0-85090775868;2-s2.0-85135015136;2-s2.0-85092077875;2-s2.0-85081286363;2-s2.0-85073271748;2-s2.0-85062993320;2-s2.0-85041499108;2-s2.0-85020877468;2-s2.0-85002325871;2-s2.0-84940358276;2-s2.0-84969261982;2-s2.0-85045434751,,
"Haghbakhsh, Reza",Faculdade de Ciências e Tecnologia da Universidade Nova de Lisboa,55506186900,55506186900,https://orcid.org/0000-0002-8942-3119,"1,382",64,24,51:2014-2023,65,0,35,0,1/26/2025 15:06,,,2-s2.0-85201700689;2-s2.0-85211970998;2-s2.0-85212928610;2-s2.0-85206682666;2-s2.0-85186675758;2-s2.0-85178436718;2-s2.0-85174688485;2-s2.0-85167835362;2-s2.0-85161844841;2-s2.0-85168735136;2-s2.0-85144979410;2-s2.0-85142326265;2-s2.0-85132735536;2-s2.0-85136550223;2-s2.0-85136342777;2-s2.0-85125184535;2-s2.0-85119046873;2-s2.0-85103217763;2-s2.0-85119404428;2-s2.0-85115032572;2-s2.0-85115726416;2-s2.0-85114953325;2-s2.0-85103945431;2-s2.0-85101658006;2-s2.0-85087211227;2-s2.0-85087284496;2-s2.0-85088012173;2-s2.0-85083564624;2-s2.0-85082694641;2-s2.0-85082166491;2-s2.0-85079906812;2-s2.0-85086699365;2-s2.0-85075628480;2-s2.0-85082794889;2-s2.0-85072081240;2-s2.0-85075373730;2-s2.0-85075367040;2-s2.0-85070842767;2-s2.0-85047992067;2-s2.0-85054325746;2-s2.0-85047009770;2-s2.0-85046337890;2-s2.0-85029220200;2-s2.0-85044456391;2-s2.0-85037535000;2-s2.0-85037532605;2-s2.0-85034096620;2-s2.0-85017535416;2-s2.0-85025082842;2-s2.0-84963800694;2-s2.0-84953837734;2-s2.0-84940426409;2-s2.0-84934916235;2-s2.0-84938635765;2-s2.0-84940601742;2-s2.0-84920097485;2-s2.0-84917705573;2-s2.0-85027916995;2-s2.0-84902014260;2-s2.0-84887682014;2-s2.0-84876146308;2-s2.0-84875589786;2-s2.0-84870289803;2-s2.0-84870367329,,
"Tork Ladani, Behrouz",University of Isfahan,36026993300,36026993300,https://orcid.org/0000-0003-2280-8839,851,70,16,34:2014-2023,0,88,12,0,1/26/2025 15:13,,,2-s2.0-85215001430;2-s2.0-85195499744;2-s2.0-85211568033;2-s2.0-85138566204;2-s2.0-85107841928;2-s2.0-85154065036;2-s2.0-85123517812;2-s2.0-85132370599;2-s2.0-85124468705;2-s2.0-85102892654;2-s2.0-85123550031;2-s2.0-85101404541;2-s2.0-85127615711;2-s2.0-85127479262;2-s2.0-85101464427;2-s2.0-85098491137;2-s2.0-85080912007;2-s2.0-85081700067;2-s2.0-85081157577;2-s2.0-85046007082;2-s2.0-85102830930;2-s2.0-85065550689;2-s2.0-85168836093;2-s2.0-85062010265;2-s2.0-85070991962;2-s2.0-85055052916;2-s2.0-85046154852;2-s2.0-85051173668;2-s2.0-85024844002;2-s2.0-85056628403;2-s2.0-84976509620;2-s2.0-84982300204;2-s2.0-84955576484;2-s2.0-84971472950;2-s2.0-84963823379;2-s2.0-84962302122;2-s2.0-84937500945;2-s2.0-84928826021;2-s2.0-84921022840;2-s2.0-84943387039;2-s2.0-84910112168;2-s2.0-84904412383;2-s2.0-84888631971;2-s2.0-84898896755;2-s2.0-81155123882;2-s2.0-80455127236;2-s2.0-79957514431;2-s2.0-79957954087;2-s2.0-78650335080;2-s2.0-79952171325;2-s2.0-78650360497;2-s2.0-79955465206;2-s2.0-77955778227;2-s2.0-70349971922;2-s2.0-77956952512;2-s2.0-84878146958;2-s2.0-77950884121;2-s2.0-77952265761;2-s2.0-67650501169;2-s2.0-65949095391;2-s2.0-78449233460;2-s2.0-67650064607;2-s2.0-78651566173;2-s2.0-84875929287;2-s2.0-84888377051;2-s2.0-47749144772;2-s2.0-52249096354;2-s2.0-77954107652;2-s2.0-84961964298;2-s2.0-24944527394,,
"Homayoonfal, Maryam",University of Isfahan,36162903900,36162903900,https://orcid.org/0000-0001-8448-3609,"1,249",41,19,18:2014-2023,22,67,11,0,1/26/2025 15:26,,2011:4;2012:11;2013:15;2014:29;2015:32;2016:64;2017:74;2018:108;2019:89;2020:164;2021:166;2022:180;2023:154;2024:134;2025:25,2-s2.0-85104067474;2-s2.0-85096954831;2-s2.0-85089565240;2-s2.0-85088496963;2-s2.0-85089019467;2-s2.0-85075929061;2-s2.0-85076566828;2-s2.0-85074142700;2-s2.0-85052430949;2-s2.0-85036592934;2-s2.0-85029809315;2-s2.0-85033361223;2-s2.0-85006409378;2-s2.0-84984846530;2-s2.0-84983391669;2-s2.0-84975126880;2-s2.0-85027928262;2-s2.0-84999836226;2-s2.0-84941308902;2-s2.0-84937020261;2-s2.0-84930542668;2-s2.0-84928214086;2-s2.0-84907983471;2-s2.0-84899863072;2-s2.0-84879218457;2-s2.0-84887039416;2-s2.0-84877905344;2-s2.0-84055193620;2-s2.0-78751499678;2-s2.0-78649447186;2-s2.0-77954391867,,
"Moini Jazani, Omid",University of Isfahan,14828955900,14828955900,https://orcid.org/0000-0003-0827-5589,"1,327",65,21,23:2014-2023,9,52,39,0,1/26/2025 15:30,,,2-s2.0-85211105495;2-s2.0-85204446850;2-s2.0-85203357177;2-s2.0-85188113132;2-s2.0-85188219212;2-s2.0-85185562365;2-s2.0-85180427563;2-s2.0-85179319741;2-s2.0-85169171533;2-s2.0-85166631011;2-s2.0-85164503182;2-s2.0-85166234131;2-s2.0-85163942983;2-s2.0-85174073513;2-s2.0-85150276000;2-s2.0-85132031904;2-s2.0-85128499455;2-s2.0-85125869947;2-s2.0-85129290798;2-s2.0-85122794857;2-s2.0-85122662079;2-s2.0-85115640560;2-s2.0-85111524861;2-s2.0-85111128476;2-s2.0-85107642663;2-s2.0-85085112695;2-s2.0-85084697213;2-s2.0-85071632419;2-s2.0-85071372713;2-s2.0-85069975620;2-s2.0-85069672239;2-s2.0-85064949031;2-s2.0-85062009226;2-s2.0-85060895506;2-s2.0-85055648620;2-s2.0-85053177494;2-s2.0-85044736802;2-s2.0-85049527013;2-s2.0-85042464695;2-s2.0-85036461943;2-s2.0-85059342033;2-s2.0-85057546940;2-s2.0-85014709845;2-s2.0-85007487746;2-s2.0-84995772580;2-s2.0-84992562781;2-s2.0-84978033669;2-s2.0-84958047833;2-s2.0-84956662510;2-s2.0-84902994407;2-s2.0-84904682927;2-s2.0-84904128817;2-s2.0-84893016066;2-s2.0-84890391344;2-s2.0-84880925077;2-s2.0-84885034782;2-s2.0-84880012594;2-s2.0-84873631797;2-s2.0-84861343517;2-s2.0-79957900660;2-s2.0-79961156186;2-s2.0-78349294601;2-s2.0-77449118332;2-s2.0-54949154889;2-s2.0-33749498179,,
"Ashori, Mohammad",University of Isfahan,55918448500,55918448500,https://orcid.org/0000-0002-1685-2932,124,35,6,21:2014-2023,62,14,5,19,1/26/2025 15:36,,2016:1;2017:1;2018:1;2019:8;2020:7;2021:10;2022:20;2023:19;2024:54;2025:3,2-s2.0-85209064090;2-s2.0-85195322179;2-s2.0-85179325786;2-s2.0-85166337605;2-s2.0-85205343305;2-s2.0-85203524856;2-s2.0-85200959884;2-s2.0-85194264197;2-s2.0-85192972225;2-s2.0-85159088265;2-s2.0-85149482379;2-s2.0-85129416838;2-s2.0-85163879984;2-s2.0-85160806066;2-s2.0-85141029848;2-s2.0-85107177861;2-s2.0-85138138301;2-s2.0-85136339891;2-s2.0-85132348410;2-s2.0-85185852475;2-s2.0-85119263485;2-s2.0-85101040716;2-s2.0-85110626699;2-s2.0-85085350308;2-s2.0-85077144361;2-s2.0-85099990082;2-s2.0-85074561497;2-s2.0-85071896482;2-s2.0-85068225051;2-s2.0-85150440429;2-s2.0-85056896496;2-s2.0-85067336591;2-s2.0-85040502558;2-s2.0-84935037681;2-s2.0-84887191118,,
"Zamani, Bibi Eshrat",University of Isfahan,31367755800,31367755800,,51,17,4,3:2014-2023,34,33,33,0,1/26/2025 15:40,2010:3;2011:3;2012:5;2013:2;2014:1;2018:1;2019:1;2020:1,2010:1;2011:3;2012:4;2013:4;2014:6;2015:4;2016:3;2017:1;2018:5;2019:0;2020:4;2021:3;2022:2;2023:7;2024:4,2-s2.0-85086913374;2-s2.0-85153202564;2-s2.0-85152453708;2-s2.0-84949982266;2-s2.0-84895329973;2-s2.0-84895238806;2-s2.0-84867043819;2-s2.0-84867039847;2-s2.0-84859014686;2-s2.0-84860863363;2-s2.0-84856650223;2-s2.0-84858759489;2-s2.0-79960360308;2-s2.0-84892061810;2-s2.0-77955745113;2-s2.0-77955733194;2-s2.0-74249083885,,
