ردیف,عنوان,شاپا,شاپای الکترونیکی,ضریب تاثیر,سال,استنادهای تجمعی,ضريب تاثير آنی,مقالات,کیفیت در موضوع سطح میانی,زبان,کشور,استان,ناشر
1,آب و توسعه پايدار,24235474,27173321,0.05,1394,2,0,28,مهندسي كشاورزي (Q3),فارسی,ايران,خراسان رضوي,دانشگاه فردوسي مشهد
2,آب و توسعه پايدار,24235474,27173321,0.203,1399,73,0.031,32,"علوم اجتماعي (Q3), علوم زمين و علوم سياره اي (Q2), علوم محيطي (Q3)",فارسی,ايران,خراسان رضوي,دانشگاه فردوسي مشهد
3,آب و توسعه پايدار,24235474,27173321,0.301,1401,113,0.067,45,"علوم اجتماعي (Q3), علوم زمين و علوم سياره اي (Q2), علوم محيطي (Q2)",فارسی,ايران,خراسان رضوي,دانشگاه فردوسي مشهد
4,آب و توسعه پايدار,24235474,27173321,0.206,1400,92,0.098,41,"علوم اجتماعي (Q3), علوم زمين و علوم سياره اي (Q2), علوم محيطي (Q3)",فارسی,ايران,خراسان رضوي,دانشگاه فردوسي مشهد
5,آب و توسعه پايدار,24235474,27173321,0.328,1398,57,0,36,"علوم اجتماعي (Q2), علوم زمين و علوم سياره اي (Q1), علوم محيطي (Q2)",فارسی,ايران,خراسان رضوي,دانشگاه فردوسي مشهد
6,آب و توسعه پايدار,24235474,27173321,0.19,1397,28,0,33,"علوم اجتماعي (Q2), علوم زمين و علوم سياره اي (Q2), علوم محيطي (Q2)",فارسی,ايران,خراسان رضوي,دانشگاه فردوسي مشهد
7,آب و توسعه پايدار,24235474,27173321,0.154,1396,32,0.029,34,"علوم اجتماعي (Q2), علوم زمين و علوم سياره اي (Q2), علوم محيطي (Q3)",فارسی,ايران,خراسان رضوي,دانشگاه فردوسي مشهد
8,آب و توسعه پايدار,24235474,27173321,0.125,1395,7,0,29,مهندسي و فناوري كشاورزي (Q2),فارسی,ايران,خراسان رضوي,دانشگاه فردوسي مشهد
9,آب و خاك,20084757,2423396x,0.17,1396,469,0,132,"علوم كشاورزي و زيست شناختي (Q2), علوم محيطي (Q3)",فارسی,ايران,خراسان رضوي,دانشگاه فردوسي مشهد
10,آب و خاك,20084757,2423396x,0.214,1397,383,0.023,87,"علوم كشاورزي و زيست شناختي (Q1), علوم محيطي (Q2)",فارسی,ايران,خراسان رضوي,دانشگاه فردوسي مشهد
11,آب و خاك,20084757,2423396x,0.251,1398,338,0.088,68,"علوم كشاورزي و زيست شناختي (Q1), علوم محيطي (Q2)",فارسی,ايران,خراسان رضوي,دانشگاه فردوسي مشهد
12,آب و خاك,20084757,2423396x,0.14,1395,335,0.006,163,مهندسي و فناوري كشاورزي (Q2),فارسی,ايران,خراسان رضوي,دانشگاه فردوسي مشهد
13,آب و خاك,20084757,2423396x,0.368,1399,387,0.054,93,"علوم كشاورزي و زيست شناختي (Q1), علوم محيطي (Q2)",فارسی,ايران,خراسان رضوي,دانشگاه فردوسي مشهد
14,آب و خاك,20084757,2423396x,0.255,1401,329,0.1,50,"علوم كشاورزي و زيست شناختي (Q2), علوم محيطي (Q3)",فارسی,ايران,خراسان رضوي,دانشگاه فردوسي مشهد
15,آب و خاك,20084757,2423396x,0.259,1390,55,0.014,141,مهندسي كشاورزي (Q1),فارسی,ايران,خراسان رضوي,دانشگاه فردوسي مشهد
16,آب و خاك,20084757,2423396x,0.309,1391,104,0.014,148,مهندسي كشاورزي (Q1),فارسی,ايران,خراسان رضوي,دانشگاه فردوسي مشهد
17,آب و خاك,20084757,2423396x,0.187,1392,151,0.017,118,مهندسي كشاورزي (Q1),فارسی,ايران,خراسان رضوي,دانشگاه فردوسي مشهد
18,آب و خاك,20084757,2423396x,0.158,1393,269,0.034,116,مهندسي كشاورزي (Q1),فارسی,ايران,خراسان رضوي,دانشگاه فردوسي مشهد
19,آب و خاك,20084757,2423396x,0.141,1394,221,0,142,مهندسي كشاورزي (Q1),فارسی,ايران,خراسان رضوي,دانشگاه فردوسي مشهد
20,آب و خاك,20084757,2423396x,0.211,1400,333,0.083,60,"علوم كشاورزي و زيست شناختي (Q2), علوم محيطي (Q3)",فارسی,ايران,خراسان رضوي,دانشگاه فردوسي مشهد
21,آب و فاضلاب,10245936,23830905,0.39,1400,171,0.048,62,"علوم محيطي (Q2), مهندسي (Q1)",فارسی,ايران,اصفهان,مهندسين مشاور طرح و تحقيقات آب و فاضلاب
22,آب و فاضلاب,10245936,23830905,0.275,1401,138,0.054,56,"علوم محيطي (Q2), مهندسي (Q2)",فارسی,ايران,اصفهان,مهندسين مشاور طرح و تحقيقات آب و فاضلاب
23,آب و فاضلاب,10245936,23830905,0.273,1399,144,0.039,76,"علوم محيطي (Q2), مهندسي (Q2)",فارسی,ايران,اصفهان,مهندسين مشاور طرح و تحقيقات آب و فاضلاب
24,آب و فاضلاب,10245936,23830905,0.222,1398,129,0,60,"علوم محيطي (Q2), مهندسي (Q2)",فارسی,ايران,اصفهان,مهندسين مشاور طرح و تحقيقات آب و فاضلاب
25,آب و فاضلاب,10245936,23830905,0.226,1397,166,0.016,61,علوم محيطي (Q2),فارسی,ايران,اصفهان,مهندسين مشاور طرح و تحقيقات آب و فاضلاب
26,آب و فاضلاب,10245936,23830905,0.219,1396,254,0.077,65,علوم محيطي (Q2),فارسی,ايران,اصفهان,مهندسين مشاور طرح و تحقيقات آب و فاضلاب
27,آب و فاضلاب,10245936,23830905,0.055,1395,106,0.017,59,عمران (Q3),فارسی,ايران,اصفهان,مهندسين مشاور طرح و تحقيقات آب و فاضلاب
28,آب و فاضلاب,10245936,23830905,0.062,1394,77,0,78,عمران (Q2),فارسی,ايران,اصفهان,مهندسين مشاور طرح و تحقيقات آب و فاضلاب
29,آب و فاضلاب,10245936,23830905,0.052,1393,90,0.023,86,عمران (Q3),فارسی,ايران,اصفهان,مهندسين مشاور طرح و تحقيقات آب و فاضلاب
30,آب و فاضلاب,10245936,23830905,0.069,1392,50,0,60,عمران (Q2),فارسی,ايران,اصفهان,مهندسين مشاور طرح و تحقيقات آب و فاضلاب
31,آب و فاضلاب,10245936,23830905,0.101,1391,42,0,56,عمران (Q2),فارسی,ايران,اصفهان,مهندسين مشاور طرح و تحقيقات آب و فاضلاب
32,آب و فاضلاب,10245936,23830905,0.033,1390,38,0,60,عمران (Q4),فارسی,ايران,اصفهان,مهندسين مشاور طرح و تحقيقات آب و فاضلاب
33,آب و فاضلاب,10245936,23830905,0.152,1389,45,0,49,عمران (Q1),فارسی,ايران,اصفهان,مهندسين مشاور طرح و تحقيقات آب و فاضلاب
34,آب و فاضلاب,10245936,23830905,0.2,1388,45,0.073,41,عمران (Q1),فارسی,ايران,اصفهان,مهندسين مشاور طرح و تحقيقات آب و فاضلاب
35,آب و فاضلاب,10245936,23830905,0.082,1387,42,0,38,عمران (Q1),فارسی,ايران,اصفهان,مهندسين مشاور طرح و تحقيقات آب و فاضلاب
36,آب و فاضلاب,10245936,23830905,0.014,1386,15,0,37,عمران (Q4),فارسی,ايران,اصفهان,مهندسين مشاور طرح و تحقيقات آب و فاضلاب
37,آب و فاضلاب,10245936,23830905,0.082,1385,27,0.028,36,عمران (Q1),فارسی,ايران,اصفهان,مهندسين مشاور طرح و تحقيقات آب و فاضلاب
38,آب و فاضلاب,10245936,23830905,0.066,1384,20,0,35,عمران (Q1),فارسی,ايران,اصفهان,مهندسين مشاور طرح و تحقيقات آب و فاضلاب
39,آب و فاضلاب,10245936,23830905,0.091,1383,16,0,38,عمران (Q1),فارسی,ايران,اصفهان,مهندسين مشاور طرح و تحقيقات آب و فاضلاب
40,آب و فاضلاب,10245936,23830905,0.013,1382,12,0,38,عمران (Q2),فارسی,ايران,اصفهان,مهندسين مشاور طرح و تحقيقات آب و فاضلاب
41,آب و فاضلاب,10245936,23830905,0.081,1381,11,0,39,عمران (Q1),فارسی,ايران,اصفهان,مهندسين مشاور طرح و تحقيقات آب و فاضلاب
42,آب و فاضلاب,10245936,23830905,0.07,1380,20,0.051,39,عمران (Q1),فارسی,ايران,اصفهان,مهندسين مشاور طرح و تحقيقات آب و فاضلاب
43,آبزيان زينتي,24234575,,0.114,1395,5,0,24,مهندسي منابع طبيعي (Q3),فارسی,ايران,تهران,انجمن علمي ماهيان زينتي ايران ويرايش
44,آبزيان زينتي,24234575,,0.042,1401,9,0,18,علوم كشاورزي و زيست شناختي (Q4),فارسی,ايران,تهران,انجمن علمي ماهيان زينتي ايران ويرايش
45,آبزيان زينتي,24234575,,0.083,1397,10,0,24,علوم كشاورزي و زيست شناختي (Q3),فارسی,ايران,تهران,انجمن علمي ماهيان زينتي ايران ويرايش
46,آبزيان زينتي,24234575,,0.083,1398,19,0.083,24,علوم كشاورزي و زيست شناختي (Q3),فارسی,ايران,تهران,انجمن علمي ماهيان زينتي ايران ويرايش
47,آبزيان زينتي,24234575,,0.313,1399,24,0.125,24,علوم كشاورزي و زيست شناختي (Q1),فارسی,ايران,تهران,انجمن علمي ماهيان زينتي ايران ويرايش
48,آبزيان زينتي,24234575,,0.146,1396,10,0.042,24,علوم كشاورزي و زيست شناختي (Q2),فارسی,ايران,تهران,انجمن علمي ماهيان زينتي ايران ويرايش
49,آبزيان زينتي,24234575,,0.417,1400,30,0.125,24,علوم كشاورزي و زيست شناختي (Q1),فارسی,ايران,تهران,انجمن علمي ماهيان زينتي ايران ويرايش
50,آبياري و زهكشي ايران,20087942,26766884,0.26,1399,237,0.078,180,"علوم كشاورزي و زيست شناختي (Q2), علوم محيطي (Q2)",فارسی,ايران,تهران,انجمن آبياري و زهكشي ايران
51,آبياري و زهكشي ايران,20087942,26766884,0.133,1398,169,0,154,"علوم كشاورزي و زيست شناختي (Q3), علوم محيطي (Q3)",فارسی,ايران,تهران,انجمن آبياري و زهكشي ايران
52,آبياري و زهكشي ايران,20087942,26766884,0.096,1397,148,0.023,131,"علوم كشاورزي و زيست شناختي (Q3), علوم محيطي (Q4)",فارسی,ايران,تهران,انجمن آبياري و زهكشي ايران
53,آبياري و زهكشي ايران,20087942,26766884,0.065,1396,86,0,102,"علوم كشاورزي و زيست شناختي (Q4), علوم محيطي (Q4)",فارسی,ايران,تهران,انجمن آبياري و زهكشي ايران
54,آبياري و زهكشي ايران,20087942,26766884,N/A,1395,100,N/A,62,مهندسي و فناوري كشاورزي (N/A),فارسی,ايران,تهران,انجمن آبياري و زهكشي ايران
55,آبياري و زهكشي ايران,20087942,26766884,0.109,1394,63,0,64,مهندسي كشاورزي (Q2),فارسی,ايران,تهران,انجمن آبياري و زهكشي ايران
56,آبياري و زهكشي ايران,20087942,26766884,0.318,1401,309,0.063,95,"علوم كشاورزي و زيست شناختي (Q1), علوم محيطي (Q2)",فارسی,ايران,تهران,انجمن آبياري و زهكشي ايران
57,آبياري و زهكشي ايران,20087942,26766884,0.066,1392,40,0,38,مهندسي كشاورزي (Q3),فارسی,ايران,تهران,انجمن آبياري و زهكشي ايران
58,آبياري و زهكشي ايران,20087942,26766884,0.222,1391,40,0,34,مهندسي كشاورزي (Q1),فارسی,ايران,تهران,انجمن آبياري و زهكشي ايران
59,آبياري و زهكشي ايران,20087942,26766884,0.188,1390,31,0.037,27,مهندسي كشاورزي (Q1),فارسی,ايران,تهران,انجمن آبياري و زهكشي ايران
60,آبياري و زهكشي ايران,20087942,26766884,0.146,1389,14,0,45,مهندسي كشاورزي (Q1),فارسی,ايران,تهران,انجمن آبياري و زهكشي ايران
61,آبياري و زهكشي ايران,20087942,26766884,0.15,1388,7,0.042,24,مهندسي كشاورزي (Q1),فارسی,ايران,تهران,انجمن آبياري و زهكشي ايران
62,آبياري و زهكشي ايران,20087942,26766884,0.395,1400,311,0.118,119,"علوم كشاورزي و زيست شناختي (Q1), علوم محيطي (Q2)",فارسی,ايران,تهران,انجمن آبياري و زهكشي ايران
63,آبياري و زهكشي ايران,20087942,26766884,0.069,1393,56,0,63,مهندسي كشاورزي (Q3),فارسی,ايران,تهران,انجمن آبياري و زهكشي ايران
64,آرشيو توانبخشي,25386247,,0.067,1386,12,0,63,طب فيزيكي و توانبخشي (Q2),فارسی,ايران,تهران,دانشگاه علوم بهزيستي و توانبخشي
65,آرشيو توانبخشي,25386247,,0.057,1387,19,0,32,طب فيزيكي و توانبخشي (Q2),فارسی,ايران,تهران,دانشگاه علوم بهزيستي و توانبخشي
66,آرشيو توانبخشي,25386247,,0.084,1388,23,0,37,طب فيزيكي و توانبخشي (Q1),فارسی,ايران,تهران,دانشگاه علوم بهزيستي و توانبخشي
67,آرشيو توانبخشي,25386247,,0.014,1389,18,0,52,طب فيزيكي و توانبخشي (Q4),فارسی,ايران,تهران,دانشگاه علوم بهزيستي و توانبخشي
68,آرشيو توانبخشي,25386247,,0.135,1390,42,0.022,45,طب فيزيكي و توانبخشي (Q1),فارسی,ايران,تهران,دانشگاه علوم بهزيستي و توانبخشي
69,آرشيو توانبخشي,25386247,,0.041,1391,24,0,66,طب فيزيكي و توانبخشي (Q3),فارسی,ايران,تهران,دانشگاه علوم بهزيستي و توانبخشي
70,آرشيو توانبخشي,25386247,,0.018,1392,55,0,57,طب فيزيكي و توانبخشي (Q4),فارسی,ايران,تهران,دانشگاه علوم بهزيستي و توانبخشي
71,آرشيو توانبخشي,25386247,,0.016,1393,42,0,36,طب فيزيكي و توانبخشي (Q3),فارسی,ايران,تهران,دانشگاه علوم بهزيستي و توانبخشي
72,آرشيو توانبخشي,25386247,,0.022,1394,36,0,36,طب فيزيكي و توانبخشي (Q4),فارسی,ايران,تهران,دانشگاه علوم بهزيستي و توانبخشي
73,آرشيو توانبخشي,25386247,,0.056,1395,55,0.063,32,طب فيزيكي و توانبخشي (Q3),فارسی,ايران,تهران,دانشگاه علوم بهزيستي و توانبخشي
74,آرشيو توانبخشي,25386247,,0.134,1396,111,0.031,32,پزشكي (Q2),فارسی,ايران,تهران,دانشگاه علوم بهزيستي و توانبخشي
75,آرشيو توانبخشي,25386247,,0.156,1397,68,0.094,32,پزشكي (Q2),فارسی,ايران,تهران,دانشگاه علوم بهزيستي و توانبخشي
76,آرشيو توانبخشي,25386247,,0.219,1398,84,0.125,32,پزشكي (Q2),فارسی,ايران,تهران,دانشگاه علوم بهزيستي و توانبخشي
77,آرشيو توانبخشي,25386247,,0.719,1399,148,0.125,32,پزشكي (Q1),فارسی,ايران,تهران,دانشگاه علوم بهزيستي و توانبخشي
78,آرشيو توانبخشي,25386247,,0.266,1400,111,0.031,32,پزشكي (Q2),فارسی,ايران,تهران,دانشگاه علوم بهزيستي و توانبخشي
79,آرشيو توانبخشي,25386247,,0.094,1401,123,0.033,30,پزشكي (Q3),فارسی,ايران,تهران,دانشگاه علوم بهزيستي و توانبخشي
80,آرشيو توانبخشي,25386247,,0,1381,0,0,28,طب فيزيكي و توانبخشي (N/A),فارسی,ايران,تهران,دانشگاه علوم بهزيستي و توانبخشي
81,آرشيو توانبخشي,25386247,,0.083,1382,6,0,29,طب فيزيكي و توانبخشي (Q1),فارسی,ايران,تهران,دانشگاه علوم بهزيستي و توانبخشي
82,آرشيو توانبخشي,25386247,,0.053,1383,5,0,31,طب فيزيكي و توانبخشي (Q1),فارسی,ايران,تهران,دانشگاه علوم بهزيستي و توانبخشي
83,آرشيو توانبخشي,25386247,,0.017,1384,3,0,32,طب فيزيكي و توانبخشي (Q1),فارسی,ايران,تهران,دانشگاه علوم بهزيستي و توانبخشي
84,آرشيو توانبخشي,25386247,,0.079,1385,13,0,43,طب فيزيكي و توانبخشي (Q1),فارسی,ايران,تهران,دانشگاه علوم بهزيستي و توانبخشي
85,آسيب شناسي درمانگاهي دامپزشكي,23224746,24766984,0.014,1388,3,0.006,163,دامپزشكي (Q3),فارسی,ايران,آذربايجان شرقي,دانشگاه آزاد اسلامي واحد تبريز
86,آسيب شناسي درمانگاهي دامپزشكي,23224746,24766984,0,1389,0,0,35,دامپزشكي (N/A),فارسی,ايران,آذربايجان شرقي,دانشگاه آزاد اسلامي واحد تبريز
87,آسيب شناسي درمانگاهي دامپزشكي,23224746,24766984,0.01,1390,3,0,42,دامپزشكي (Q4),فارسی,ايران,آذربايجان شرقي,دانشگاه آزاد اسلامي واحد تبريز
88,آسيب شناسي درمانگاهي دامپزشكي,23224746,24766984,0.039,1391,6,0,34,دامپزشكي (Q3),فارسی,ايران,آذربايجان شرقي,دانشگاه آزاد اسلامي واحد تبريز
89,آسيب شناسي درمانگاهي دامپزشكي,23224746,24766984,0.066,1392,11,0,32,دامپزشكي (Q3),فارسی,ايران,آذربايجان شرقي,دانشگاه آزاد اسلامي واحد تبريز
90,آسيب شناسي درمانگاهي دامپزشكي,23224746,24766984,0.03,1393,14,0,32,دامپزشكي (Q4),فارسی,ايران,آذربايجان شرقي,دانشگاه آزاد اسلامي واحد تبريز
91,آسيب شناسي درمانگاهي دامپزشكي,23224746,24766984,0.102,1401,26,0.037,27,دامپزشكي (Q2),فارسی,ايران,آذربايجان شرقي,دانشگاه آزاد اسلامي واحد تبريز
92,آسيب شناسي درمانگاهي دامپزشكي,23224746,24766984,0,1395,6,0,31,دامپزشكي (N/A),فارسی,ايران,آذربايجان شرقي,دانشگاه آزاد اسلامي واحد تبريز
93,آسيب شناسي درمانگاهي دامپزشكي,23224746,24766984,0.016,1396,16,0,32,دامپزشكي (Q4),فارسی,ايران,آذربايجان شرقي,دانشگاه آزاد اسلامي واحد تبريز
94,آسيب شناسي درمانگاهي دامپزشكي,23224746,24766984,0.063,1397,14,0,32,دامپزشكي (Q3),فارسی,ايران,آذربايجان شرقي,دانشگاه آزاد اسلامي واحد تبريز
95,آسيب شناسي درمانگاهي دامپزشكي,23224746,24766984,0.094,1398,26,0.031,32,دامپزشكي (Q2),فارسی,ايران,آذربايجان شرقي,دانشگاه آزاد اسلامي واحد تبريز
96,آسيب شناسي درمانگاهي دامپزشكي,23224746,24766984,0.188,1399,42,0,31,دامپزشكي (Q1),فارسی,ايران,آذربايجان شرقي,دانشگاه آزاد اسلامي واحد تبريز
97,آسيب شناسي درمانگاهي دامپزشكي,23224746,24766984,0.254,1400,47,0,28,دامپزشكي (Q1),فارسی,ايران,آذربايجان شرقي,دانشگاه آزاد اسلامي واحد تبريز
98,آسيب شناسي درمانگاهي دامپزشكي,23224746,24766984,0.031,1394,8,0,31,دامپزشكي (Q3),فارسی,ايران,آذربايجان شرقي,دانشگاه آزاد اسلامي واحد تبريز
99,آفات و بيماريهاي گياهي,10265007,,0,1385,33,0,16,گياهپزشكي (N/A),فارسی,ايران,تهران,موسسه تحقيقات گياه پزشكي كشور
100,آفات و بيماريهاي گياهي,10265007,,0,1400,6,0.04,25,علوم كشاورزي و زيست شناختي (N/A),فارسی,ايران,تهران,موسسه تحقيقات گياه پزشكي كشور
101,آفات و بيماريهاي گياهي,10265007,,0.065,1399,13,0,25,علوم كشاورزي و زيست شناختي (Q4),فارسی,ايران,تهران,موسسه تحقيقات گياه پزشكي كشور
102,آفات و بيماريهاي گياهي,10265007,,0.044,1398,12,0,26,علوم كشاورزي و زيست شناختي (Q4),فارسی,ايران,تهران,موسسه تحقيقات گياه پزشكي كشور
103,آفات و بيماريهاي گياهي,10265007,,0.083,1397,19,0.1,20,علوم كشاورزي و زيست شناختي (Q3),فارسی,ايران,تهران,موسسه تحقيقات گياه پزشكي كشور
104,آفات و بيماريهاي گياهي,10265007,,0.044,1396,34,0.04,25,علوم كشاورزي و زيست شناختي (Q4),فارسی,ايران,تهران,موسسه تحقيقات گياه پزشكي كشور
105,آفات و بيماريهاي گياهي,10265007,,0.019,1395,15,0,35,گياهپزشكي (Q4),فارسی,ايران,تهران,موسسه تحقيقات گياه پزشكي كشور
106,آفات و بيماريهاي گياهي,10265007,,0.023,1394,14,0,33,گياهپزشكي (Q4),فارسی,ايران,تهران,موسسه تحقيقات گياه پزشكي كشور
107,آفات و بيماريهاي گياهي,10265007,,0,1393,16,0,19,گياهپزشكي (N/A),فارسی,ايران,تهران,موسسه تحقيقات گياه پزشكي كشور
108,آفات و بيماريهاي گياهي,10265007,,0,1392,11,0,24,گياهپزشكي (N/A),فارسی,ايران,تهران,موسسه تحقيقات گياه پزشكي كشور
109,آفات و بيماريهاي گياهي,10265007,,0.043,1391,18,0,29,گياهپزشكي (Q3),فارسی,ايران,تهران,موسسه تحقيقات گياه پزشكي كشور
110,آفات و بيماريهاي گياهي,10265007,,0,1380,29,0,23,گياهپزشكي (N/A),فارسی,ايران,تهران,موسسه تحقيقات گياه پزشكي كشور
111,آفات و بيماريهاي گياهي,10265007,,0.086,1381,24,0.063,16,گياهپزشكي (Q1),فارسی,ايران,تهران,موسسه تحقيقات گياه پزشكي كشور
112,آفات و بيماريهاي گياهي,10265007,,0,1382,18,0.053,19,گياهپزشكي (N/A),فارسی,ايران,تهران,موسسه تحقيقات گياه پزشكي كشور
113,آفات و بيماريهاي گياهي,10265007,,0.057,1383,29,0,18,گياهپزشكي (Q2),فارسی,ايران,تهران,موسسه تحقيقات گياه پزشكي كشور
114,آفات و بيماريهاي گياهي,10265007,,0.027,1384,42,0,17,گياهپزشكي (Q2),فارسی,ايران,تهران,موسسه تحقيقات گياه پزشكي كشور
115,آفات و بيماريهاي گياهي,10265007,,0.04,1401,11,0,6,علوم كشاورزي و زيست شناختي (Q4),فارسی,ايران,تهران,موسسه تحقيقات گياه پزشكي كشور
116,آفات و بيماريهاي گياهي,10265007,,0.03,1386,47,0,27,گياهپزشكي (Q1),فارسی,ايران,تهران,موسسه تحقيقات گياه پزشكي كشور
117,آفات و بيماريهاي گياهي,10265007,,0.023,1387,20,0,23,گياهپزشكي (Q2),فارسی,ايران,تهران,موسسه تحقيقات گياه پزشكي كشور
118,آفات و بيماريهاي گياهي,10265007,,0,1388,23,0,30,گياهپزشكي (N/A),فارسی,ايران,تهران,موسسه تحقيقات گياه پزشكي كشور
119,آفات و بيماريهاي گياهي,10265007,,0,1389,9,0,23,گياهپزشكي (N/A),فارسی,ايران,تهران,موسسه تحقيقات گياه پزشكي كشور
120,آفات و بيماريهاي گياهي,10265007,,0.019,1390,21,0,23,گياهپزشكي (Q4),فارسی,ايران,تهران,موسسه تحقيقات گياه پزشكي كشور
121,آفاق امنيت,25371857,26455250,0.322,1401,142,0.222,9,علوم اجتماعي (Q3),فارسی,ايران,تهران,دانشگاه جامع امام حسين (ع)
122,آفاق امنيت,25371857,26455250,0.432,1400,149,0,33,علوم اجتماعي (Q2),فارسی,ايران,تهران,دانشگاه جامع امام حسين (ع)
123,آفاق امنيت,25371857,26455250,0.351,1399,119,0.038,26,علوم اجتماعي (Q2),فارسی,ايران,تهران,دانشگاه جامع امام حسين (ع)
124,آفاق امنيت,25371857,26455250,0.282,1398,113,0.111,18,علوم اجتماعي (Q2),فارسی,ايران,تهران,دانشگاه جامع امام حسين (ع)
125,آفاق امنيت,25371857,26455250,0.238,1397,85,0.211,19,علوم اجتماعي (Q2),فارسی,ايران,تهران,دانشگاه جامع امام حسين (ع)
126,آفاق امنيت,25371857,26455250,0.036,1391,2,0,25,علوم سياسي (Q4),فارسی,ايران,تهران,دانشگاه جامع امام حسين (ع)
127,آفاق امنيت,25371857,26455250,N/A,1395,36,N/A,22,علوم سياسي (N/A),فارسی,ايران,تهران,دانشگاه جامع امام حسين (ع)
128,آفاق امنيت,25371857,26455250,0,1394,13,0.059,17,علوم سياسي (N/A),فارسی,ايران,تهران,دانشگاه جامع امام حسين (ع)
129,آفاق امنيت,25371857,26455250,0.157,1393,12,0,28,علوم سياسي (Q2),فارسی,ايران,تهران,دانشگاه جامع امام حسين (ع)
130,آفاق امنيت,25371857,26455250,0.094,1392,6,0,26,علوم سياسي (Q3),فارسی,ايران,تهران,دانشگاه جامع امام حسين (ع)
131,آفاق امنيت,25371857,26455250,0.133,1396,50,0,20,علوم اجتماعي (Q3),فارسی,ايران,تهران,دانشگاه جامع امام حسين (ع)
132,آمايش جغرافيايي فضا,25385739,25384821,0.651,1400,325,0.111,45,علوم اجتماعي (Q1),فارسی,ايران,گلستان,دانشگاه گلستان
133,آمايش جغرافيايي فضا,25385739,25384821,0.636,1399,303,0.125,64,علوم اجتماعي (Q1),فارسی,ايران,گلستان,دانشگاه گلستان
134,آمايش جغرافيايي فضا,25385739,25384821,0.927,1401,447,0.179,39,علوم اجتماعي (Q1),فارسی,ايران,گلستان,دانشگاه گلستان
135,آمايش جغرافيايي فضا,25385739,25384821,0.768,1398,266,0.258,62,علوم اجتماعي (Q1),فارسی,ايران,گلستان,دانشگاه گلستان
136,آمايش جغرافيايي فضا,25385739,25384821,0.411,1397,172,0.196,56,علوم اجتماعي (Q1),فارسی,ايران,گلستان,دانشگاه گلستان
137,آمايش جغرافيايي فضا,25385739,25384821,0.411,1396,125,0,56,علوم اجتماعي (Q1),فارسی,ايران,گلستان,دانشگاه گلستان
138,آمايش جغرافيايي فضا,25385739,25384821,0.211,1395,53,0.036,56,جغرافيا (Q3),فارسی,ايران,گلستان,دانشگاه گلستان
139,آمايش جغرافيايي فضا,25385739,25384821,0.169,1394,16,0.018,56,جغرافيا (Q3),فارسی,ايران,گلستان,دانشگاه گلستان
140,آمايش جغرافيايي فضا,25385739,25384821,0.254,1393,19,0,34,جغرافيا (Q2),فارسی,ايران,گلستان,دانشگاه گلستان
141,آمايش جغرافيايي فضا,25385739,25384821,0.095,1392,7,0.097,31,جغرافيا (Q4),فارسی,ايران,گلستان,دانشگاه گلستان
142,آمايش سرزمين,20087047,24236268,1.138,1398,108,0.071,14,علوم اجتماعي (Q1),فارسی,ايران,تهران,پرديس فارابي دانشگاه تهران
143,آمايش سرزمين,20087047,24236268,0.318,1390,8,0.071,14,جغرافيا (Q2),فارسی,ايران,تهران,پرديس فارابي دانشگاه تهران
144,آمايش سرزمين,20087047,24236268,0.553,1400,136,0.208,24,علوم اجتماعي (Q2),فارسی,ايران,تهران,پرديس فارابي دانشگاه تهران
145,آمايش سرزمين,20087047,24236268,0.875,1401,164,0.167,24,علوم اجتماعي (Q1),فارسی,ايران,تهران,پرديس فارابي دانشگاه تهران
146,آمايش سرزمين,20087047,24236268,0.929,1399,112,0.208,24,علوم اجتماعي (Q1),فارسی,ايران,تهران,پرديس فارابي دانشگاه تهران
147,آمايش سرزمين,20087047,24236268,0.207,1391,10,0,14,جغرافيا (Q3),فارسی,ايران,تهران,پرديس فارابي دانشگاه تهران
148,آمايش سرزمين,20087047,24236268,0.321,1392,20,0.067,15,جغرافيا (Q2),فارسی,ايران,تهران,پرديس فارابي دانشگاه تهران
149,آمايش سرزمين,20087047,24236268,0.31,1393,22,0.214,14,جغرافيا (Q2),فارسی,ايران,تهران,پرديس فارابي دانشگاه تهران
150,آمايش سرزمين,20087047,24236268,0.517,1394,45,0.077,13,جغرافيا (Q1),فارسی,ايران,تهران,پرديس فارابي دانشگاه تهران
151,آمايش سرزمين,20087047,24236268,0.63,1395,64,0.071,14,جغرافيا (Q1),فارسی,ايران,تهران,پرديس فارابي دانشگاه تهران
152,آمايش سرزمين,20087047,24236268,0.519,1396,85,0,15,علوم اجتماعي (Q1),فارسی,ايران,تهران,پرديس فارابي دانشگاه تهران
153,آمايش سرزمين,20087047,24236268,0.517,1397,87,0.143,14,علوم اجتماعي (Q1),فارسی,ايران,تهران,پرديس فارابي دانشگاه تهران
154,آمايش محيط,2676783X,26767848,0.672,1397,259,0.2,40,علوم اجتماعي (Q1),فارسی,ايران,همدان,دانشگاه آزاد اسلامي واحد ملاير
155,آمايش محيط,2676783X,26767848,0.569,1398,306,0.5,40,علوم اجتماعي (Q1),فارسی,ايران,همدان,دانشگاه آزاد اسلامي واحد ملاير
156,آمايش محيط,2676783X,26767848,0.7,1399,328,0.375,40,علوم اجتماعي (Q1),فارسی,ايران,همدان,دانشگاه آزاد اسلامي واحد ملاير
