Id, Name, Affi, Email, Citation, Keywords
djoc2fYAAAAJ, Jieshan Qiu, Professor of Chemical Engineering and Carbon Science  Beijing University of Chemical …,  buct.edu.cn, 71345, Carbon Materials,Coal Chemistry,Energy Storage and Conversion,Electro-catalysis,Capacitive Deionization
R_FBxHkAAAAJ, Joseph M. DeSimone, University of North Carolina at Chapel Hill; North Carolina State University; Carbon  Inc.,  email.unc.edu, 59746, Polymers,3D printing,Nanomedicine,Batteries,Interventional oncology
7F1yaGcAAAAJ, Alan Hogg, Carbon Dating  University of Waikato,  waikato.ac.nz, 39549, Climate Change,Carbon Dating
DrNUTZIAAAAJ, Tatiana Ilyina, Professor  Universität Hamburg  Head Modeling the Carbon Cycle in the Earth System,  mpimet.mpg.de, 31620, ocean carbon cycle,ocean biogeochemistry,ocean acidification,earth system modeling
RdRYELsAAAAJ, Antonio B. Fuertes, Professor (Instituto Nacional del Carbon  CSIC),  incar.csic.es, 29668, carbon materials,energy storage,graphene
tLwaZGIAAAAJ, Wouter Peters, Professor Carbon Cycle and Atmospheric Composition  The Netherlands,  wur.nl, 24662, carbon cycle,atmospheric composition,greenhouse gases,stable isotopes in carbon dioxide
aJjeWC4AAAAJ, K Mark Thomas, Professor of Carbon Science  Newcastle University,  ncl.ac.uk, 22358, Porous Materials
bckE3JoAAAAJ, Phil De Luna, Chief Carbon Scientist at Deep Sky | Adjunct Professor at University of Toronto | Forbes 30 …,  deepskyclimate.com, 21163, Carbontech,Materials Science,Innovation,Sustainability
6z_bzEcAAAAJ, Don Futaba, Nano Carbon Device Research Center  AIST  Japan,  aist.go.jp, 19891, carbon nanomaterials synthesis,process automation,AI,ML
yjpDQmoAAAAJ, Werner Kutsch, ICOS ERIC - Integrated Carbon Observation System,  kutsch.ws, 19160, 
tqox1j4AAAAJ, Zonghoon Lee, … Dept of Materials S&E / Institute for Basic Science (IBS)  Center for Multidimensional Carbon,  unist.ac.kr, 17910, TEM,2D materials,carbon materials,nano crystals,deformation mechanism
CqQ3s60AAAAJ, Fernando Rubiera, Research Scientist (Instituto Nacional del Carbón  INCAR-CSIC). Oviedo,  incar.csic.es, 17355, 
HT3swQMAAAAJ, Stuart Haszeldine, professor of carbon capture and storage  geology,  ed.ac.uk, 16252, CO2 storage,CCS,hydrocarbon porosity,radioactive waste storage,biochar
Ypz4s1UAAAAJ, Seth Carbon, Lawrence Berkeley National Laboratory,  lbl.gov, 15581, 
I9kl-8YAAAAJ, Richard Worden, Professor of Carbon Capture Geology  Geochemistry  Sedimentology  Geomechanics …,  liv.ac.uk, 15561, Carbon Capture and Storage,Sedimentary geology,Sedimentary geochemistry,Petrophysics,Geomechanics
0oEW3RwAAAAJ, Dr RK Kotnala Biggest Invention of 21st Century-Hydroelectric Cell Device- Net Carbon Zero ..., Chairman NABL 2020-22 & Raja Ramanna Fellow DAE  Sigma Xi  Elected Member ,  nplindia.org, 15170, Hydroelectric Cell,Environmental Science,Multiferroics,Humidity Sensor & Spintronics,Solar Cell
d1FRps4CNiUJ, Dave Reay, Professor of Carbon Management and Education  University of Edinburgh,  ed.ac.uk, 14992, Climate change,Methane,Climate education,Net Zero,Just Transition
k9lfRi8AAAAJ, David I Forrester, Carbon cycling & vegetation processes  Land and Water  CSIRO,  csiro.au, 14427, 
9JvxhlwAAAAJ, Professor Peter Macreadie, RMIT University - Blue Carbon Lab,  rmit.edu.au, 14287, Marine science,climate change,blue carbon,ocean alkalinity enhancement,teal carbon
Y4pH5uwAAAAJ, Riley Duren, Carbon Mapper,  carbonmapper.org, 14165, atmospheric science,methane
9dHCNnYAAAAJ, Kevin Tu, Grassroots Carbon,  theissresearch.org, 13236, evapotranspiration,photosynthesis,remote sensing,ecosystem science,biometeorology
xT2WvuwAAAAJ, RAKESH BEHARI MATHUR, Chief Scientist and Head  Physics and Engineering of Carbon, , 13168, Advanced carbon products,carbon fibres,carbon nanotubes,composites,graphene
kSDb3uMAAAAJ, Amit K Naskar, Group Leader  Carbon & Composites  Oak Ridge National Laboratory,  ornl.gov, 12537, polymer,carbon,fiber,composites
w0yKJkgAAAAJ, Peng Wang, National Institute of Clean-and-Low-Carbon Energy  CHN Energy; Laboratory of Inorganic …,  chnenergy.com.cn, 12213, Heterogeneous catalysis,C1 catalysis,syngas conversion,Fischer-Tropsch,natual gas conversion
z2ySAYsAAAAJ, Jason P. Rolland, Carbon  Inc; Diagnostics for All; Liquidia Technologies  UNC Chapel Hill  Virginia Tech,  carbon3d.com, 11011, Polymers,additive manufacturing,recycling,surface patterning,polyurethanes
ped_pFcAAAAJ, Chris Rudd, Chief Scientist Yangtze River Centre for Carbon Fibre and Composites Innovation,  jcu.edu.au, 10936, composite materials,fibres,glasses,biomaterials
RfizTekAAAAJ, Claus-Christian Carbon, University of Bamberg  Department of General Psychology and Methodology  Empirical …,  uni-bamberg.de, 9880, empirical aesthetics,perceptual psychology,art perception,face perception,innovation leadership
k3KJZtAAAAAJ, Yong Jin Kim, Research Fellow  Center for Multidimensional Carbon Materials  Institute for Basic Sciences …,  ibs.re.kr, 9872, Graphene,2D Materials,Nanomaterials,Heteroepitaxy
LdKsKEwAAAAJ, Yungui Chen, Institute of New Energy and Low-Carbon Technology  Sichuan University  Chengdu  China,  scu.edu.cn, 9223, hydrogen storage,rechargeable battery,magnesium alloy,titanium alloy,magnetic refrigeration
2jUfpYQAAAAJ, Klaus Lorenz, Assistant Director  Senior Research Associate  CFAES Rattan Lal Center for Carbon …,  osu.edu, 8431, Soil carbon sequestration
f_B843oAAAAJ, Juerg M Matter, Professor of Geoengineering and Carbon Management  University of Southampton  UK,  southampton.ac.uk, 8186, climate change mitigation,carbon capture and storage,reactive transport,hydrogeology
